,id,listing_url,name,number_of_bedrooms,description,cancellation_policy,review_scores_value,reviews_per_month,host_id,host_name
10,175576,https://www.airbnb.com/rooms/175576,private apartment  queen anne hill,1,queen anne hill charming neighborhood historic old homes located hill seattle center close enough convenient everything yet far enough away traffic hubbub commotion downtown close everything queen anne hill charming neighborhood historic old homes located hill seattle center close enough convenient everything yet far enough away traffic hubbub commotion downtown basement apartment home queen anne hill minutes seattle center space needle pacific science center imax theater experience music project international fountain seattle repertory theater pacific northwest ballet seattle childrens theater gates foundation complex next door eileen walked home work every evening right past seattle center plus seattle pacific university end hill private basement apar,moderate,10.0,3.33,239585,Ray & Eileen
11,4454295,https://www.airbnb.com/rooms/4454295,upper queen anne craftsman house,1,beautifully furnished cozy 1 bedroom mid century modern craftsman house upper queen anne 850 sqft queen sz bed large closet huge dining table comfy living room bathtub fully furnished kitchen outdoor patio walkable neighborhood beautiful home extremely walkable neighborhood restaurants coffee shops bars stores blocks away bus stops convenient downtown seattle center space needle ballard fremont likely present stay friend family member available absence located upper queen anne neighborhood seattles oldest historic neighborhood yes bus stops 23 blocks away,strict,9.0,0.98,4606439,Nadia
12,3883392,https://www.airbnb.com/rooms/3883392,open plan 2bdr1bath in queen anne,1,spacious apt popular seattle neighborhood 1 block bus easy access car groceries gas freeway stadiums cruise ships well stocked quiet restful space vacation sorry accommodations parties apartment quiet friendly city neighborhood central many places car transit easily sleeps 1 4 persons comfortably spacious feeling throughout entire apartment enter apartment entry hallway additional feeling security great location 10 minutes away ballard magnolia downtown seattle kitchen gas stove convection oven enough tools handle kind cooking weve also stocked kitchen basic staples like oil balsamic vinegar spices simplify grocery shopping stay seattle guests one designated spot parking front house car access washerdryer,moderate,10.0,0.92,19932967,Pat & Roberta
13,8889257,https://www.airbnb.com/rooms/8889257,elegance in historic queen anne,1,enjoy amazing updated modern design cottage located blocks many seattles best sites house surrounded million homes w easy access downtown located queen anne hill one seattles soughtafter neighborhoods originally built 1906 house lightfilled living room dining area vaulted ceilings soundmountain view hope youll enjoy chef kitchen gas range stainless steel appliances richlight counters maple cabinets tile backsplash bathroom 6 ft soaking tub double sinks floor ceiling tile hardwood floors throughout living space home two bedrooms queen sized beds well one roll away bed house situated quaint historic corner queen anne accessed flight 16 easy steps street make home front deck main floor home andrew camille primary contact minutes,strict,10.0,3.0,25899989,Ellie
14,5680462,https://www.airbnb.com/rooms/5680462,stunning 6 bd in the best location,1,stunning designsponge featured 6 bed 375 bath 4000 sq ft home citys best location w free parking price decent hotel seattle walk queen anne drive 5 min downtown want gorgeous light filled newly constructed modern farmhouse best location 4 level home features 4000 sq ft living space 6 bedrooms 375 baths 15 separate beds first level main home features open living area formal living room dining room family room spacious kitchen half bath coat closet large open hall bench seating cubbies storage family room comfy pull sofa bed full size bed kitchen oversized farmhouse style sink 6 burner bertazonni range integrated 36 liebherr fridge freezer dishwasher coffeemaker microwave convection oven second level boasts 3 large bedrooms master queen bed add pack play f,strict,10.0,2.65,22372266,Sarah
15,8988178,https://www.airbnb.com/rooms/8988178,lovely queen anne cottage 2 br,4,home full light art comfort 5 mins downtown 1 min coffee space 1000 square foot two bedroom one bathroom house home large kitchen two large indoor eating spaces open plan kitchen living room two sets french doors opening west facing decks additional seating lots room play two bedrooms comfy new carpet separately controlled heating take advantage kitchen meals venture sample seattles restaurants stay start morning right coffee deck head tenth west storyville coffee company caffe fiore enjoy nice leisurely breakfast seattle grind macrina bakery caf bustle popular stops near house head fresh morning air go nice walk kerry park parsons gardens discovery park try bounty kitchen le reve bakery caf 5 spot lunch,strict,8.0,0.73,2983711,Paige
16,3245876,https://www.airbnb.com/rooms/3245876,park life in lower queen anne,4,master bedroom suite 14 bath kitchenette hidden within lovely kinnear park mere blocks key arena space needle short ride pike place stadiums convention center enjoy quiet quick walk tons bars restaurants shops please make sure read info booking need info anything mentioned listing ask pricing varies daily based demand calendar always date simply enter travel dates calendar check pricing availability guest room fairly large private lots personality approx 250 sq ft completely separate rest apartment includes full size bed kitchenette vanity area sink two closets exclusively use guests enjoy complete privacy youll pretty much everything need hangers shelves organizers extra sheetstowels first aid kit umbrella hairdryer ironironing board th,moderate,9.0,4.55,9465817,Libby
17,4933447,https://www.airbnb.com/rooms/4933447,private garden suite bay view,1,beautiful private entrance garden suite overlooking elliot bay street covered parking available convenient public transportation close seattle center spu whole foods pikes mkt complimentary meal local cafebar sitting room french country style home built 1939 spectacular view elliot bay latest remodel 2015 private room bath located garden level separate entrance west side room includes full size bed seating area minifridge wireless internet large bathroom shower pedestal sink heated floor bedding towels provided onsite offstreet covered parking available reservation includes complimentary meal sitting room local neighborhood bistro owned hosts smoking indoors private entrance space keypad door access private roomspace guests may park covered car port access front yard available welcome answer,moderate,10.0,4.58,25417834,Markus And Melissa
18,7735464,https://www.airbnb.com/rooms/7735464,queen anne getaway near seattle,2,second room spacious 2br 2 bath apartment functions office second bedroom family guests visitors comforts home minutes downtown seattle yet feel like youre suburbs,flexible,,,6170760,Sam
19,6291829,https://www.airbnb.com/rooms/6291829,grand craftsman home on queen anne,2,home built 1909 5 bedrooms 35 baths perfect family groups modern conveniences one block main street filled restaurants coffee shops 4 blocks kerry parks famous fireworks display home encompasses character sought queen anne large craftsman beautiful private garden front porch gourmet kitchen master suite basement tvgame room even back yard provide plenty spaces relax enjoy large group especially kids 4 bedrooms upstairs one king one queen bed two full beds 2 full baths basement also queen bedroom newly done bathshower location unique one block queen anne offer across street park baseballsoccer fields large playground one block community center indoor pool full access wifi cable parking bac,flexible,8.0,0.82,32713558,Kary
20,9218403,https://www.airbnb.com/rooms/9218403,queen anne view one bedroom,1,clean comfortable one bedroom sits right across kinnear park seattles lower queen anne neighborhood walk seattle center sam sculpture park sit deck enjoy view puget sound downtown seattle kitchen hot water tap sodastream excellent water pressure original art throughout house dogs 30 lbs welcome roof deck lower queen anne near seattle center space needle emp museum glass museum science center childrens museum also near sam sculpture park stores restaurants siff theater,flexible,10.0,1.0,14100483,Annie
21,4125779,https://www.airbnb.com/rooms/4125779,cozy queen anne finished basement,1,relax private finished basement space 1925 craftsman upper queen anne one seattles historic lively neighborhoods 2 blocks many trendy restaurants yoga shopping etc 15 minute bus ride downtown fremont amazon lake union bus updated daylight basement space queen single sleeping nooks privacy paramount entrance key space offers plenty room unwind relax read enjoy direct tv bose receiver showerbathroom located upstairs space bath shower located top floor home bathroom one level guest space right kitchen area quiet space outside patio area private entrance key provided access main fridge fresh ground coffee tea french press morning always delighted meet guests also respect privacy minutes walk many great restaurants,moderate,8.0,0.71,21401856,Nick
22,8942678,https://www.airbnb.com/rooms/8942678,lovely queen anne home,0,welcome seattle enjoy stay turnofthecentury queen anne home lovely setting heart city cosy cup coffee window seat enjoy fabulous seattle restaurants cafes shops 1 block away centrally located spacious home heart city 1 block away world class restaurants cafes shops house across street soccer field park making perfect location kids start morning el diablo cafe explore seattle easy bus ride walk 12 mile seattle center pike place market downtown seattle offer close green lake university district capital hill easy access restaurants cafes shopping grocery stores across street soccer field park 3 blocks bus stop 12 mile downtown seattle seattle center opera house benaroya hall close green lake university district capitol hill easy email,flexible,10.0,0.86,46675077,Susanna
23,10106055,https://www.airbnb.com/rooms/10106055,cozy lower level upper queen anne,1,greetings home beautiful 1920s 4 bedroom craftsman iconic seattle neighborhood queen anne featuring spectacular views elliot bay olympics amenities include washerdryer full living room private entry bathroom space renting entire lower level home featuring private bedroom bathroom living room personal entry back patio cozy room features comfortable full bed spacious closet exposed brickwork bathroom shower sink living room great place hang relax lower levelbasement entirely provide guest key let private entry back patio alex work opposite schedules day evenings evenings chances someone always available help settle love talking people making new friends ask respect early bedtimes privacy,flexible,,,51860756,Maggie & Alex
24,6362362,https://www.airbnb.com/rooms/6362362,charming home on queen anne,5,enjoy seattle ideally located queen anne hill enjoy quaintness charm queen anne easy access around area l step main living space sitting areas kitchen lovely outdoor space master bedroom bath top level lower level housing two small bedrooms shared bathroom shower one room double bed twin trundle location close queen anne avenue easy access downtown seattle i5 99 minutes seattle center space needle pike place market seattle waterfront elliott bay ballard lake union green lake century link field etc available answer questions phone text enjoy stay seattle 10th avenue west bus line taking downtown seattle plenty street parking one designated parking space front house,moderate,10.0,0.18,33147763,Tracy
25,3544550,https://www.airbnb.com/rooms/3544550,viewmonthly rental available,1,home light full character charm great gourmet kitchen large living room sunset views water 3 bedrooms 225 bath large private garden fountain plenty parking located 5 minutes downtown home brick tudorcottage built 1937 original beveled glass windows beautiful hardwoods sunset water views located desirable queen anne neighborhood blocks coffee shops restaurants grocery enchanted open light house wonderful garden fountain play space large living spaces views sound great 2 families kids living room large views water fireplace great space socialize large dining room table 6 extended 10 people also library main floor large couch views water 3 bedrooms accommodate 8 people 1 queen 1 full bed 2 twin beds master also,strict,10.0,1.3,16708587,Jill
26,9025039,https://www.airbnb.com/rooms/9025039,cute bungalowclose to everything,0,cozy little bungalow perfect place relax call home trip emerald city 2 comfortable bedrooms 1 bath endless charmlocated top queen anne family friendly one bedroom queen sized bed bunk beds full size bottom twin top living room futon also makes comfortable double bed need space stretch queen anne neighborhood one coveted areas seattle safe residential streets quiet queen anne avenue easy walk drive away bustling activity great restaurants shopping seattle center right bottom hill middle downtown seattle short minutes several bus lines within blocks bus stop one block away runs straight downtown neighborhood also walkable several bus routes short steps aw,flexible,,,68155,Lori
27,3200646,https://www.airbnb.com/rooms/3200646,micro gypsy wagon on queen anne,1,micro camper queen size bed seating two well 70 x 60 camper small six feet tall camper claustrophobic keep looking seeing small go perfect spruce kaboose hand built one kind tiny bedroom wheels tall 6 foot rental however smaller stature place golden bed measures 70l x 60w plenty storage underneath suitcases light power heater fan high speed wifi private trailer backyard access yard shared bathroom gate east side house gain access back yard leave alone unless want talk need anything interbay right downtown seattle ballard two blocks whole foods bus line bus line busing airport take th,strict,9.0,4.38,4016632,Jean-Marc
28,8859380,https://www.airbnb.com/rooms/8859380,stunning view of puget sound,1,three bedroom flat gorgeous retreat seattle located queen anne neighborhood known best neighborhood live lack nothing fully equipped home ideal long stays wont want leave home away home property boasts 180 degree views amenities need exceptional stay queen anne best worlds set 5 minutes downtown yet beautiful walking neighborhood everything need groceries restaurants boutiques services 1800 sq ft apartment 1 3 units midcentury modern building appointed beautiful furnishings along terrace enjoy view ferry boats crossing day amazing sunsets open living dining office space also boasts beautiful wood burning fireplace fully stocked kitchen chef would happy allclad cookware everything need,moderate,10.0,2.47,3792761,Kimberly
29,4520099,https://www.airbnb.com/rooms/4520099,open airy queen anne condo,3,designer home situated queen anne hill overlooking magnolia enjoy custom furnishings gourmet kitchen spa bathroom cozy bedroom easy access downtown seattle ballard fremont whole foods walk away building construction finished summer construction building finished building completely updated outside unit completely remodeled guest access kitchen items laundry area drawers closet bedroom limits really quiet neighborhood plenty free street parking great walking neighborhood parks close great stair climbs convenient bus line block away take anywhere city neighborhood plenty free street parking neighbors really quiet condo doesnt share walls units bedroom blackout curtains,strict,9.0,0.33,6184895,Lana
30,2481869,https://www.airbnb.com/rooms/2481869,airy  bright queen anne cottage,1,enjoy 1 br cottage atop queen anne hill renovated little home airy bright studiowork spacegarage longterm guests beautiful carriage house extremely safe quiet pedestrianfriendly section queen anne leafygreen location puts best seattle doorstep free wifi free parking even free pillows whats special place beautiful restoration mixing period details modern sensibilities hardwood floors throughout white subway tile lowno vocs nontoxic paints keep homeawayfromhome clean smart healthy radiant heat oil radiators mean blowing hot air dust hypoallergenic bedding mattressescovers new pillows rental feel free take new pillows great amenities free wifi internet tv led 39 flatscreen tv fullyequipped kitchen stainlesssteel appliances sink disposal large washer dryer ironironing board h,strict,10.0,1.86,5177328,Andrea
31,1110749,https://www.airbnb.com/rooms/1110749,queen anne 3 bed near everything,1,charming clean picturesque home perfect location exploring seattle 15 miles downtown three bedroom dutch colonial located center historic queen anne near everything seattle center pike market lake union charming clean picturesque home perfect location exploring seattle 15 miles downtown three bedroom dutch colonial located center historic queen anne near everything house comes full amenities cable dishwasher internet laundry etc accommodates 6 comfortably house kidfriendly owners provide baby amenities guests needed groceries also provided service contact owner details house tucked back lovely quiet street welcoming garden front private fencedin backyard alley access upper queen anne neighborhood quiet despite heart seattle plenty free parking,strict,9.0,2.18,5325329,Blair
32,5978498,https://www.airbnb.com/rooms/5978498,1914 stunner view ocean mountain,1,2 stories private home open concept living room floor 2 ceiling windows view puget sound olympic mountains gourmet kitchen formal dining room 2 br 3 full bath inc bear claw tub walk cafes restaurants private sanctuary steps hill home 3 stories professionally decorated walk feel warmth original fir floors main floor open concept living room large flat screen tv floor ceiling windows gourmet kitchen tuscan feeling informal dining room formal dining room cherry furniture well family roomreading room best views house along full bath including bear claw tub flow first floor open airy sunny private kitchen front door home open two large outdoor living spaces indooroutdoor feel outside surrounded abundant trees flowers green typical pacific northwest pick anything want garden 1st floor,flexible,9.0,1.31,31037494,Silvia
33,5021081,https://www.airbnb.com/rooms/5021081,seattle queen anne beauty,2,beautiful water view minutes pier space needle downtown family friendly 1920 sq ft 4 bedrooms 35 baths formal living dining room plus bonus room offer breathtaking water views puget sound private backyard vacation rental available desirable neighborhood lower queen anne rates subject change time please add 50 staying involves holiday thanksgiving christmas new years fourth july memorial day labor day full payment required 1 month prior arriving payment received time date become available others book furniture may vary clothes dryer fireplace hair dryer heating internet iron board linens provided living room parking telephone towels provided washing machine conveniently located close downtown minutes accessible freeways whole food super market gas stations golf club winery pubs pike place market pier public transport available next st,strict,8.0,0.99,25906186,Vacation
34,1686930,https://www.airbnb.com/rooms/1686930,the hideaway queen annedowntown,0,welcome queen anne hideaway home away home lower level unit vintage queen anne landmark home take advantage incredible savings hotel pet family friendly environment pet friendly flooring dog bed kennel fenced yard make perfect spot vacation pups beautifully furnished luxury beds feather toppers patio fenced yard details need make stay perfect apartment two bedroom walls shared queen beds living area features flat screen tv couch two ugliest recliners ever seen kitchen stocked cooking needs however prepared dishes old fashioned way find condiments extras hand necessary including coffee creamer priority uno one bathroom updated shower stall new vanity lacks space makes well stocked,strict,9.0,2.27,8916363,Paige
35,7680289,https://www.airbnb.com/rooms/7680289,queen anne view one  seattle,0,vintage 1927 4plex perfect queen anne location elliott bay views hardwoods builtins natural light queen bed w new mattress charm updated amenities ac free wifi roku cable tv hbo private wd additional hideabed clean well caredfor building many charming details attention detail furnishings clean apartment private outdoor space shared backyard relax sun bbq enjoy game corn hole fully stocked kitchen keurig complimentary coffee bottled waters large bedroom walkin closet private washer dryer queen sized bed 2nd queen sized hideabed sofa sweeping sunset views elliot bay spacious living room dining space dart board chess board poker set roku cable tv free hbo free wireless high speed internet complete apartment private bedroom bathroom kitchen dining area large living room private patio shared backyard space private washer dryer walkin closet 4 dig,moderate,10.0,4.35,40335071,Kevin
36,7207641,https://www.airbnb.com/rooms/7207641,urban sanctuary 3br queen anne,2,new listing august 2015 relax revive urban 3bedroom sanctuary centrally located seattles charming desirable neighborhood relax revive urban 3bedroom sanctuary centrally located one seattles charming desirable neighborhoods location hard beat three leafy blocks queen annes main drag great array shops cafes restaurants five blocks famous picturepostcard lookout point city skyline kerry park good public transportation 10minute ride popular seattle center exciting downtown trendy capitol hill dinner queen anne restaurant suit taste budget release inner chef gourmet kitchen island cook top double ovens afterwards take soothing bath master suites soaker tub reinvigorate walkin shower bed snuggle giant leather chesterfield cat,strict,9.0,0.97,6544973,Joe & Anna
37,5062445,https://www.airbnb.com/rooms/5062445,cozy homebase close to downtown,1,century old upper queen anne house located near beautiful postcardesc views city closeeasy bus lines shared kitchen bathroom three easygoing roommates home recording studio youd like take crack song guest room divided 2 sections small office type area couple chairs complimentary guitar mood strike large walkin closet bed located enjoy sleeping cavelike environments disappointed house hundred years old accumulate dusty fairly easily need paint touchups got ton character makes youre welcome access areas house besides private rooms obviously basement music studio arent home youre welcome check im around theres fair amount expensive equipment lying around want keep accidentf,flexible,10.0,0.9,21072725,Chris
38,8925878,https://www.airbnb.com/rooms/8925878,view queen anne  vintage seattle,1,sweeping elliott bay views vintage 1927 queen anne 4plex remodeled w new tile refinished hardwoods charm modern amenities beautiful bath spacious bedroom tons light wd 50 smart tv free wifi hbo quiet building great location spacious updated 1 bed 1 bath apartment beautiful queen anne 4plex big views puget sounds elliott bay fully stocked kitchen large bedroom private wd living room big windows tons natural light dining area sits 4 queen bed brand new mattress bed queen sized hideabed sofa living room 50 samsung smart tv cable free hbo free wifi 4 digit keypad entry key exchange needed owner local real estate agent available times via text owner local real estate agent available times via text take airbnb reviews seriously keep guests happy west slope queen anne conveniently located north downtown seat,moderate,10.0,0.83,40335071,Kevin
39,6389657,https://www.airbnb.com/rooms/6389657,cute little seattle studio,1,love little studio space might small mighty strategically set apartment create sleeping space eating area living room even patio even though live big room doesnt feel like guests access basement holds washer dryer available time guest need assistance apartment great location everything need within 3 block radius gym bank across street trader joes popular grocery store steet well several coffee shops restaurants best views seattle kerry park head south queen anne ave turn right highland drive cant miss area walkable though bus line bus 13 stops feet away goes downtown apartment bar somewhat busy street noise level bothersome usually tends quiet aroun,flexible,10.0,1.98,2052160,Ruth
40,4218733,https://www.airbnb.com/rooms/4218733,walkers dream on queen anne hill,2,recently remodeled modern daylight basement apartment queen anne close everything walking distance tons shops restaurants newly remodeled daylight basement top queen anne hill minutes away downtown seattle yet still keeps low key quality single family neighborhood private apartment private entry guest access shared laundry room neighborhood unit particular extremely walkable everything anyone could need within 5 minute walk ive provided convenient walking map legend help locate everything may need personal commentary added buses right around corner uber x ride downtown 57 also within cartogo service area many vehicles parked within neighborhood also dedicated parking space steps front door well plenty onstreet parking walking distance seattle pacific univ,moderate,9.0,4.7,21896205,Henry
41,2715623,https://www.airbnb.com/rooms/2715623,darling vintage cottage queen anne,2,stay hotel costing stay enjoy luxuriate 1909 vintage west queen anne cottage restored original beauty complete every amenity could possibly need easy access downtownuniversitiesmedicalculture le bijou queen anne jewel queen anne 1909 craftsmans cottage located western bluff facing puget sound coveted queen anne true craftsman developed skills renovating vintage homes east coast recreated fine details craftsmanship present turn century crown molding wainscoting lathe plaster ceilings walls lovingly meticulously repaired restored artisancraftsman using techniques skills used craftsmen todays times cottage completely equipped modern conveniences enter cottage along lite walkway garden courtyard enhanced plantings fill air sweet flowering fragrances drawing humm,strict,10.0,0.46,8242272,Debera
42,1392332,https://www.airbnb.com/rooms/1392332,modern ecofriendly view retreat,2,eco friendly modern home two stunning decks floor ceiling windowstons light feels like private urban oasis located quiet w queen anne street block away public transportation popular cafes perfection space modern stylish comfortable completely eco conscious every way two decks full western views elliott bay olympic mountains spectacular sunsets grill hooked natural gas youll never mess propane soak new hot tub watching ferries boats come go upstairs living area nanawall slides open bring outdoors right living room winter cozy beautiful gas fireplace audiophile also state art soundmedia system surround living room speakers every room plus three zones listening pleasure including access demand movie str,moderate,9.0,1.38,2315558,Holly
43,7308567,https://www.airbnb.com/rooms/7308567,beautiful 1 bedrm in queen anne,2,enjoy apartment top queen anne hill recently renovated basement home airy bright lots space 2 blocks qa ave 10 min walk seattle center attractions uber bus downtown 10 minutes spacious living room 46 flatpanel lcd surround sound dvd player iphoneipod dock modern kitchen new appliances glasses pots pans basic small appliances bedroom 1 one queen bed closet drawers en suite full bathroom tub den twin day bed 2nd bathroom pedestal sink apartment located basement main house front door located walkway left upon climbing steps main property lockbox provided guests access day night family lives main home 2 young children may hear main floor stairs please feel free let us know noise concerns may upper queen ann,moderate,10.0,3.35,17597607,Nicole
44,6575380,https://www.airbnb.com/rooms/6575380,one bedroom with lounge,2,large remodeled daylight basement space includes private entrance private bedroom queen bed closet full bathroom laundry room mini fridge massive tv comfy couch top queen anne downtown 5 min drive away comfortable space lounging guests secluded work area complete desk basement host liking relax beer watch big game looking business explore seattle daylight basements gets lots natural light full access basement amenities including washerdryer full bath bedroom living room desk id happy meet every guest share info city neighborhood love super busy family mostly keep main upstairs living space queen anne seattles prime neighborhood sitting atop hill space needle closest neighborhood downtown far enough removed escape nois,flexible,10.0,1.99,34392395,Sam
45,6004058,https://www.airbnb.com/rooms/6004058,lower queen anne studio wpatio,3,love 3rd floor vintage studio apartment w courtyard patio lower queen anne 10 min walk seattle center includes elevator secured entry hardwood floors vaulted ceilings big windows full bath kitchen small efficient kitchen stocked basics condiments bathroom vintage claw foot tub excellent tub long bath 40 flat screen tv bluray apple tv hulu plus wifi ihome alarm clock courtyard patio patio looks interior courtyard shared another apartment accessible large window 1 double bed bed futon thick memory foam topper makes incredibly comfortable new bedding 4 pillows quiet residents pretty quiet wake sound fountain courtyard small accommodates two people set dining area kinnear park across street walk iconic kerry park visit marshall park love 3 organic use,flexible,9.0,2.29,9031463,Marina
46,9550869,https://www.airbnb.com/rooms/9550869,queen anne craftsman,1,beautiful craftsman center queen anne 4 bedrooms 3 full bathrooms spacious living dining space full kitchen parking space across street bus stop walking distance shops restaurants historic queen anne home redone new amenities 2012 sits corner across street coffee shop 5star yelp rated restaurant walking distance trader joes whole foods well numerous destinations queen anne ave house comprised three fullyfinished levels 1 top floor three bedrooms top floor queen full side beds built closets andor drawers bedroom 2 ground floor full kitchen living room dining room full bathroom 3 basement full bed couch also serves pull bed full bathroom fullsize washer dryer guests full access entire house except two owner storage spaces clearly marked,strict,,,12867960,Maureen
47,8515408,https://www.airbnb.com/rooms/8515408,queen anne hill craftsman studio,1,beautiful craftsman style studio located one neatest neighborhoods seattle blocks amazing restaurants shops urban nest studio located detached garage private entrance parking space urban nest studio built comfort mind studio completed along main house 2015 example true craftsmanship architectural beauty guests private entrance dedicated parking space queen anne hill centrally located friendly walkable place urban nest studio three blocks queen anne ave find trader joes many coffee shops list wonderful bookstore gift shops amazing restaurants metro bus stop three blocks away seattle center pike place market 510 minutes away bus,moderate,10.0,1.06,3502513,Jennifer
